,frame,x,y
80,129,657.5,538.2
81,130,654.05,538.32
82,131,650.6,538.44
83,132,647.15,538.56
84,133,643.7,538.68
85,134,640.25,538.8
86,135,636.8,538.92
87,136,633.35,539.04
88,137,629.9,539.16
89,138,626.45,539.28
90,139,623.0,539.4
91,140,622.02,539.4
92,141,621.04,539.4
93,142,620.06,539.4
94,143,619.08,539.4
95,144,618.1,539.4
96,145,617.12,539.4
97,146,616.14,539.4
98,147,615.16,539.4
99,148,614.18,539.4
100,149,613.2,539.4
101,150,622.92,538.67
102,151,632.63,537.93
103,152,642.35,537.2
104,153,652.07,536.47
105,154,661.78,535.73
106,155,671.5,535.0
107,156,667.38,535.8
108,157,663.25,536.6
109,158,659.12,537.4
110,159,655.0,538.2
111,160,648.48,537.71
112,161,641.96,537.22
113,162,635.44,536.73
114,163,628.92,536.24
115,164,622.4,535.75
116,165,615.88,535.26
117,166,609.36,534.77
118,167,602.84,534.28
119,168,596.32,533.79
120,169,589.8,533.3
121,170,595.58,533.42
122,171,601.36,533.54
123,172,607.14,533.66
124,173,612.92,533.78
125,174,618.7,533.9
126,175,624.48,534.02
127,176,630.26,534.14
128,177,636.04,534.26
129,178,641.82,534.38
130,179,647.6,534.5
131,180,647.15,533.88
132,181,646.7,533.27
133,182,646.25,532.65
134,183,645.8,532.03
135,184,645.35,531.42
136,185,644.9,530.8
137,186,646.8,531.7
138,187,642.13,532.63
139,188,637.47,533.57
140,189,632.8,534.5
141,190,633.42,534.5
142,191,634.04,534.5
143,192,634.66,534.5
144,193,635.28,534.5
145,194,635.9,534.5
146,195,636.52,534.5
147,196,637.14,534.5
148,197,637.76,534.5
