,frame,x,y
16,116,723.5,536.76
17,117,723.95,535.47
18,118,724.4,534.18
19,119,724.85,532.89
20,120,725.3,531.6
21,121,725.02,531.05
22,122,724.74,530.5
23,123,724.46,529.95
24,124,724.18,529.4
25,125,723.9,528.85
26,126,723.62,528.3
27,127,723.34,527.75
28,128,723.06,527.2
29,129,722.78,526.65
30,130,722.5,526.1
31,131,721.22,525.46
32,132,719.94,524.82
33,133,718.66,524.18
34,134,717.38,523.54
35,135,716.1,522.9
36,136,714.82,522.26
37,137,713.54,521.62
38,138,712.26,520.98
39,139,710.98,520.34
40,140,709.7,519.7
41,141,714.65,521.05
42,142,719.6,522.4
43,143,686.5,500.2
44,144,656.5,500.3
45,145,645.7,501.75
46,146,634.9,503.2
47,147,638.48,506.18
48,148,642.05,509.15
49,149,645.63,512.13
50,150,649.2,515.1
51,151,681.0,520.2
52,152,684.29,522.28
53,153,687.58,524.36
54,154,690.87,526.43
55,155,694.16,528.51
56,156,697.44,530.59
57,157,700.73,532.67
58,158,704.02,534.74
59,159,707.31,536.82
60,160,710.6,538.9
61,161,711.43,538.72
62,162,712.26,538.54
63,163,713.09,538.36
64,164,713.92,538.18
65,165,714.75,538.0
66,166,715.58,537.82
67,167,716.41,537.64
68,168,717.24,537.46
69,169,718.07,537.28
70,170,718.9,537.1
71,171,718.9,537.1
72,172,718.9,537.1
73,173,718.9,537.1
74,174,718.9,537.1
75,175,718.9,537.1
76,176,718.9,537.1
