,frame,x,y
1,161,714.67,552.25
2,162,713.94,551.7
3,163,713.21,551.15
4,164,712.48,550.6
5,165,711.75,550.05
6,166,711.02,549.5
7,167,710.29,548.95
8,168,709.56,548.4
9,169,708.83,547.85
10,170,708.1,547.3
11,171,706.72,546.02
12,172,705.34,544.74
13,173,703.96,543.46
14,174,702.58,542.18
15,175,701.2,540.9
16,176,699.82,539.62
17,177,698.44,538.34
18,178,697.06,537.06
19,179,695.68,535.78
20,180,694.3,534.5
21,181,693.13,532.71
22,182,691.96,530.93
23,183,690.79,529.14
24,184,689.61,527.36
25,185,688.44,525.57
26,186,687.27,523.79
27,187,686.1,522.0
28,188,662.25,520.2
29,189,638.4,518.4
30,190,639.3,518.0
31,191,624.5,511.2
32,192,624.4,514.9
33,193,624.3,518.6
34,194,624.2,522.3
35,195,641.1,525.87
36,196,658.0,529.43
37,197,674.9,533.0
38,198,680.77,535.93
39,199,686.63,538.87
40,200,692.5,541.8
41,201,693.23,542.53
42,202,693.96,543.26
43,203,694.69,543.99
44,204,695.42,544.72
45,205,696.15,545.45
46,206,696.88,546.18
47,207,697.61,546.91
48,208,698.34,547.64
49,209,699.07,548.37
50,210,699.8,549.1
51,211,701.27,549.47
52,212,702.74,549.84
53,213,704.21,550.21
54,214,705.68,550.58
55,215,707.15,550.95
56,216,708.62,551.32
57,217,710.09,551.69
58,218,711.56,552.06
59,219,713.03,552.43
60,220,714.5,552.8
