,frame,x,y
59,128,676.01,508.91
60,129,676.6,509.5
61,130,674.23,507.6
62,131,671.85,505.7
63,132,669.48,503.8
64,133,667.1,501.9
65,134,667.7,502.97
66,135,668.3,504.03
67,136,668.9,505.1
68,137,669.5,506.17
69,138,670.1,507.23
70,139,670.7,508.3
71,140,671.29,508.18
72,141,671.88,508.06
73,142,672.47,507.94
74,143,673.06,507.82
75,144,673.65,507.7
76,145,674.24,507.58
77,146,674.83,507.46
78,147,675.42,507.34
79,148,676.01,507.22
80,149,676.6,507.1
81,150,672.88,503.36
82,151,669.15,499.63
83,152,665.43,495.89
84,153,661.7,492.15
85,154,657.98,488.41
86,155,654.25,484.68
87,156,650.53,480.94
88,157,646.8,477.2
89,158,647.5,474.95
90,159,648.2,472.7
91,160,650.75,473.53
92,161,653.3,474.37
93,162,655.85,475.2
94,163,658.4,476.03
95,164,660.95,476.87
96,165,663.5,477.7
97,166,657.28,474.98
98,167,651.05,472.25
99,168,644.83,469.53
100,169,638.6,466.8
101,170,636.3,465.4
102,171,630.6,464.4
103,172,605.4,474.5
104,173,577.8,478.8
105,174,579.0,483.9
106,175,583.45,484.75
107,176,587.9,485.6
108,177,601.23,486.47
109,178,614.57,487.33
110,179,627.9,488.2
111,180,641.4,494.7
112,181,654.9,501.2
113,182,658.8,500.0
114,183,662.7,498.8
115,184,666.58,500.0
116,185,670.47,501.2
117,186,674.35,502.4
118,187,678.23,503.6
119,188,682.12,504.8
120,189,686.0,506.0
121,190,686.0,506.24
122,191,686.0,506.48
123,192,686.0,506.72
124,193,686.0,506.96
125,194,686.0,507.2
126,195,686.0,507.44
127,196,686.0,507.68
128,197,686.0,507.92
129,198,686.0,508.16
130,199,686.0,508.4
131,200,685.88,508.87
132,201,685.76,509.34
