,frame,x,y
8,170,672.3,565.22
9,171,672.3,565.22
10,172,672.3,565.22
11,173,672.3,565.21
12,174,672.3,565.21
13,175,672.3,565.21
14,176,672.3,565.21
15,177,672.3,565.21
16,178,672.3,565.21
17,179,672.3,565.2
18,180,672.3,565.2
19,181,672.3,565.2
20,182,672.3,565.2
21,183,671.44,565.08
22,184,670.58,564.96
23,185,669.72,564.84
24,186,668.86,564.72
25,187,668.0,564.6
26,188,667.14,564.48
27,189,666.28,564.36
28,190,665.42,564.24
29,191,664.56,564.12
30,192,663.7,564.0
31,193,668.1,562.5
32,194,672.5,561.0
33,195,663.53,558.47
34,196,654.57,555.93
35,197,645.6,553.4
36,198,631.65,556.45
37,199,617.7,559.5
38,200,610.65,558.15
39,201,603.6,556.8
40,202,624.3,562.8
41,203,611.8,557.6
42,204,614.1,561.65
43,205,616.4,565.7
44,206,622.83,564.93
45,207,629.27,564.17
46,208,635.7,563.4
47,209,642.13,562.63
48,210,648.57,561.87
49,211,655.0,561.1
50,212,651.4,560.3
51,213,666.4,562.0
52,214,681.4,563.7
53,215,681.8,563.89
54,216,682.2,564.08
55,217,682.6,564.26
56,218,683.0,564.45
57,219,683.4,564.64
58,220,683.8,564.83
59,221,684.2,565.01
60,222,684.6,565.2
61,223,684.48,565.2
62,224,684.36,565.2
63,225,684.24,565.2
64,226,684.12,565.2
65,227,684.0,565.2
66,228,683.88,565.2
67,229,683.76,565.2
68,230,683.64,565.2
69,231,683.52,565.2
70,232,683.4,565.2
