,frame,x,y
5,155,705.0,538.2
6,156,704.54,537.56
7,157,704.08,536.92
8,158,703.62,536.28
9,159,703.16,535.64
10,160,702.7,535.0
11,161,701.87,534.45
12,162,701.04,533.9
13,163,700.21,533.35
14,164,699.38,532.8
15,165,698.55,532.25
16,166,697.72,531.7
17,167,696.89,531.15
18,168,696.06,530.6
19,169,695.23,530.05
20,170,694.4,529.5
21,171,693.57,528.67
22,172,692.74,527.84
23,173,691.91,527.01
24,174,691.08,526.18
25,175,690.25,525.35
26,176,689.42,524.52
27,177,688.59,523.69
28,178,687.76,522.86
29,179,686.93,522.03
30,180,686.1,521.2
31,181,670.5,519.07
32,182,654.9,516.93
33,183,639.3,514.8
34,184,638.58,517.02
35,185,637.86,519.24
36,186,637.14,521.46
37,187,636.42,523.68
38,188,635.7,525.9
39,189,647.15,528.15
40,190,658.6,530.4
41,191,669.95,532.05
42,192,681.3,533.7
43,193,683.5,533.64
44,194,685.7,533.58
45,195,687.9,533.51
46,196,690.1,533.45
47,197,692.3,533.39
48,198,694.5,533.33
49,199,696.7,533.26
50,200,698.9,533.2
51,201,700.09,534.3
52,202,701.28,535.4
53,203,702.47,536.5
54,204,703.66,537.6
55,205,704.85,538.7
56,206,706.04,539.8
57,207,707.23,540.9
58,208,708.42,542.0
59,209,709.61,543.1
60,210,710.8,544.2
61,211,710.8,544.2
62,212,710.8,544.2
63,213,710.8,544.2
