,frame,x,y
82,82,720.32,574.74
83,83,719.53,574.41
84,84,718.74,574.08
85,85,717.95,573.75
86,86,717.16,573.42
87,87,716.37,573.09
88,88,715.58,572.76
89,89,714.79,572.43
90,90,714.0,572.1
91,91,713.21,571.77
92,92,712.42,571.44
93,93,711.63,571.11
94,94,710.84,570.78
95,95,710.05,570.45
96,96,709.26,570.12
97,97,708.47,569.79
98,98,707.68,569.46
99,99,706.89,569.13
100,100,706.1,568.8
101,101,703.46,567.22
102,102,700.82,565.64
103,103,698.18,564.06
104,104,695.54,562.48
105,105,692.9,560.9
106,106,690.26,559.32
107,107,687.62,557.74
108,108,684.98,556.16
109,109,682.34,554.58
110,110,679.7,553.0
111,111,663.73,551.63
112,112,647.77,550.27
113,113,631.8,548.9
114,114,640.34,550.06
115,115,648.89,551.21
116,116,657.43,552.37
117,117,665.97,553.53
118,118,674.51,554.69
119,119,683.06,555.84
120,120,691.6,557.0
121,121,693.45,557.26
122,122,695.3,557.52
123,123,697.15,557.78
124,124,699.0,558.04
125,125,700.85,558.3
126,126,702.7,558.56
127,127,704.55,558.82
128,128,706.4,559.08
129,129,708.25,559.34
130,130,710.1,559.6
131,131,710.89,560.0
132,132,711.68,560.4
133,133,712.47,560.8
134,134,713.26,561.2
135,135,714.05,561.6
136,136,714.84,562.0
137,137,715.63,562.4
138,138,716.42,562.8
139,139,717.21,563.2
140,140,718.0,563.6
